tensor(40.),tensor(-0.9588),tensor(-0.9982)
tensor(42.),tensor(-0.9676),tensor(-0.9954)
tensor(60.),tensor(-0.8809),tensor(-0.9777)
tensor(40.),tensor(-0.7385),tensor(-0.9635)
tensor(36.),tensor(-0.8422),tensor(-0.9894)
tensor(57.),tensor(-0.7225),tensor(-0.9944)
tensor(29.),tensor(-0.5077),tensor(-0.9810)
tensor(48.),tensor(-0.6586),tensor(-0.9973)
tensor(34.),tensor(-0.8067),tensor(-0.9933)
tensor(57.),tensor(-0.8000),tensor(-0.9906)
tensor(20.),tensor(-0.9436),tensor(-0.9767)
tensor(31.),tensor(-0.7910),tensor(-0.9852)
tensor(50.),tensor(-0.5829),tensor(-0.9960)
tensor(29.),tensor(-0.6075),tensor(-0.9624)
tensor(37.),tensor(-0.9235),tensor(-0.9879)
tensor(17.),tensor(-0.7522),tensor(-0.9874)
tensor(26.),tensor(-0.6411),tensor(-0.9704)
tensor(64.),tensor(-0.7060),tensor(-1.)
tensor(45.),tensor(-0.7856),tensor(-0.9920)
tensor(40.),tensor(-0.8678),tensor(-0.9876)
tensor(29.),tensor(-0.9573),tensor(-0.9981)
tensor(30.),tensor(-0.9572),tensor(-0.9982)
tensor(24.),tensor(-0.7868),tensor(-0.9745)
tensor(46.),tensor(-0.8005),tensor(-0.9938)
tensor(64.),tensor(-0.8280),tensor(-0.9982)
tensor(37.),tensor(-0.6941),tensor(-0.9536)
tensor(40.),tensor(-0.9301),tensor(-0.9933)
tensor(54.),tensor(-0.8988),tensor(-0.9954)
tensor(54.),tensor(-0.8474),tensor(-0.9960)
tensor(53.),tensor(-0.8480),tensor(-0.9959)
tensor(35.),tensor(-0.6112),tensor(-0.9969)
tensor(46.),tensor(-0.3857),tensor(-0.9958)
tensor(47.),tensor(-0.8989),tensor(-0.9968)
tensor(42.),tensor(-0.8887),tensor(-0.9945)
tensor(53.),tensor(-0.3809),tensor(-0.9969)
tensor(46.),tensor(-0.5518),tensor(-0.9787)
tensor(18.),tensor(-0.6600),tensor(-0.9977)
tensor(26.),tensor(-0.8986),tensor(-0.9982)
tensor(62.),tensor(-0.9071),tensor(-0.9957)
tensor(20.),tensor(-0.6676),tensor(-0.9983)
tensor(38.),tensor(-0.7042),tensor(-0.9973)
tensor(31.),tensor(-0.8866),tensor(-0.9798)
tensor(51.),tensor(-0.7650),tensor(-0.9976)
tensor(52.),tensor(-0.7171),tensor(-0.9973)
tensor(38.),tensor(-0.7552),tensor(-0.9984)
tensor(43.),tensor(-0.8207),tensor(-0.9979)
tensor(48.),tensor(-0.7022),tensor(-0.9980)
tensor(63.),tensor(-0.7443),tensor(-0.9976)
tensor(49.),tensor(-0.7196),tensor(-0.9983)
tensor(38.),tensor(-0.7073),tensor(-0.9963)
tensor(30.),tensor(-0.8526),tensor(-0.9724)
tensor(45.),tensor(-0.8490),tensor(-0.9967)
tensor(45.),tensor(-0.8850),tensor(-0.9943)
tensor(59.),tensor(-0.7236),tensor(-0.9793)
tensor(59.),tensor(-0.8405),tensor(-0.9989)
tensor(59.),tensor(-0.8862),tensor(-0.9976)
tensor(30.),tensor(-0.7438),tensor(-0.9771)
tensor(37.),tensor(-0.8531),tensor(-0.9982)
tensor(48.),tensor(-0.7936),tensor(-0.9709)
tensor(38.),tensor(-0.8804),tensor(-0.9921)
tensor(21.),tensor(-0.8916),tensor(-0.9784)
tensor(63.),tensor(-0.8955),tensor(-0.9982)
tensor(63.),tensor(-0.9438),tensor(-0.9979)
tensor(57.),tensor(-0.9443),tensor(-0.9985)
tensor(63.),tensor(-0.9464),tensor(-0.9917)
tensor(77.),tensor(-0.9391),tensor(-0.9969)
tensor(57.),tensor(-0.9141),tensor(-0.9786)
tensor(43.),tensor(-0.8818),tensor(-0.9907)
tensor(41.),tensor(-0.9499),tensor(-0.9964)
tensor(54.),tensor(-0.9769),tensor(-0.9757)
tensor(44.),tensor(-0.6600),tensor(-0.9980)
tensor(50.),tensor(-0.6003),tensor(-0.9957)
tensor(38.),tensor(-0.9254),tensor(-0.9940)
tensor(36.),tensor(-0.6486),tensor(-0.9971)
tensor(66.),tensor(-0.9896),tensor(-0.9983)
tensor(54.),tensor(-0.6110),tensor(-0.9982)
tensor(38.),tensor(-0.9550),tensor(-0.9876)
tensor(36.),tensor(-0.8068),tensor(-0.9776)
tensor(11.),tensor(-0.5911),tensor(-1.)
tensor(30.),tensor(-0.7652),tensor(-0.9980)
tensor(45.),tensor(-0.9198),tensor(-0.9747)
tensor(35.),tensor(-0.9786),tensor(-0.9962)
tensor(16.),tensor(-0.9713),tensor(-0.9969)
tensor(49.),tensor(-0.9675),tensor(-0.9918)
tensor(36.),tensor(-0.9853),tensor(-0.9956)
tensor(49.),tensor(-0.9530),tensor(-0.9956)
tensor(33.),tensor(-0.9743),tensor(-0.9964)
tensor(40.),tensor(-0.9811),tensor(-0.9898)
tensor(45.),tensor(-0.9735),tensor(-0.9967)
tensor(54.),tensor(-0.9586),tensor(-0.9884)
tensor(42.),tensor(-0.9414),tensor(-0.9978)
tensor(6.),tensor(-0.9349),tensor(-0.9963)
tensor(42.),tensor(-0.9624),tensor(-0.9925)
tensor(55.),tensor(-0.8859),tensor(-0.9949)
tensor(39.),tensor(-0.9559),tensor(-0.9967)
tensor(54.),tensor(-0.8980),tensor(-0.9983)
tensor(35.),tensor(-0.9484),tensor(-0.9981)
tensor(40.),tensor(-0.8961),tensor(-0.9974)
tensor(45.),tensor(-0.9102),tensor(-0.9984)
tensor(29.),tensor(-0.9726),tensor(-0.9976)
tensor(53.),tensor(-0.9455),tensor(-0.9963)
tensor(47.),tensor(-0.9871),tensor(-0.9979)
tensor(40.),tensor(-0.9767),tensor(-0.9959)
tensor(48.),tensor(-0.9694),tensor(-0.9981)
tensor(36.),tensor(-0.9663),tensor(-0.9971)
tensor(16.),tensor(-0.9581),tensor(-0.9979)
tensor(45.),tensor(-0.9879),tensor(-0.9975)
tensor(16.),tensor(-0.9680),tensor(-0.9964)
tensor(57.),tensor(-0.9465),tensor(-0.9980)
tensor(40.),tensor(-0.9802),tensor(-0.9956)
tensor(12.),tensor(-0.9723),tensor(-0.9903)
tensor(34.),tensor(-0.8118),tensor(-0.9985)
tensor(49.),tensor(-0.7060),tensor(-0.9735)
tensor(51.),tensor(-0.9195),tensor(-0.9954)
tensor(52.),tensor(-0.8785),tensor(-0.9978)
tensor(26.),tensor(-0.9860),tensor(-0.9995)
tensor(41.),tensor(-0.9174),tensor(-0.9940)
tensor(50.),tensor(-0.8882),tensor(-0.9981)
tensor(41.),tensor(-0.9929),tensor(-0.9973)
tensor(57.),tensor(-0.8282),tensor(-0.9982)
tensor(57.),tensor(-0.8333),tensor(-0.9954)
tensor(42.),tensor(-0.7278),tensor(-1.)
tensor(57.),tensor(-0.6344),tensor(-0.9974)
tensor(36.),tensor(-0.9150),tensor(-0.9963)
tensor(70.),tensor(-0.7494),tensor(-0.9928)
tensor(9.),tensor(-0.7750),tensor(-0.9947)
tensor(45.),tensor(-0.7371),tensor(-0.9977)
tensor(42.),tensor(-0.7232),tensor(-0.9978)
tensor(55.),tensor(-0.7509),tensor(-0.9982)
tensor(19.),tensor(-0.6215),tensor(-0.9981)
tensor(50.),tensor(-0.8947),tensor(-0.9977)
tensor(8.),tensor(-0.7241),tensor(-0.9959)
tensor(46.),tensor(-0.8536),tensor(-0.9954)
